"Season","1st Date","# of Perfs","Conductor","Orch.","Location","Venue","Event","Soloist","ID"
"2022-23","03/11/2023 14:00:00","1","Jerry Hou","New York Philharmonic","Manhattan, NY","David Geffen Hall","Young People's Concert","Etienne Charles,Creole Soul","14687"
"2022-23","02/08/2023 19:30:00","4","Esa-Pekka Salonen","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Anthony McGill","14680"
"2022-23","01/05/2023 19:30:00","1","Santtu-Matias Rouvali","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Yuja Wang","14673"
"2022-23","12/01/2022 19:30:00","1","Rafael Payare","New York Philharmonic","Manhattan, NY","David Geffen Hall","Subscription Season","Emanuel Ax","14666"
"2021-22","07/20/2022 18:00:00","1","Jaap van Zweden","New York Philharmonic","Vail, CO","Gerald R. Ford Amphitheater","Tour","Seong-Jin Cho","14706"
"2021-22","05/20/2022 20:00:00","1","Jaap van Zweden","New York Philharmonic","Peenemünde, Usedom, Germany","Kraftwerk Peenemünde","Residency","Jan Lisiecki","14613"
"2021-22","05/14/2022 14:00:00","1","Lina Gonzalez-Granados [González-Granados]","New York Philharmonic","Manhattan, NY","Alice Tully Hall","Young People's Concert","Lanxing Fu,Superhero Clubhouse","14612"
"2021-22","05/12/2022 19:30:00","3","Jaap van Zweden","New York Philharmonic","Manhattan, NY","Alice Tully Hall","Subscription Season","Frank Huang","14611"
"2021-22","04/20/2022 19:30:00","1","David Newman","New York Philharmonic","Manhattan, NY","Alice Tully Hall","Non-Subscription","","14607"
"2021-22","03/31/2022 19:30:00","1","Anna Rakitina","New York Philharmonic","Manhattan, NY","Rose Theater","Subscription Season","Haochen Zhang","14605"
"2021-22","03/24/2022 19:30:00","1","Jaap van Zweden","New York Philharmonic","Manhattan, NY","Alice Tully Hall","Subscription Season","Seong-Jin Cho","14604"
"2021-22","03/03/2022 19:30:00","3","Herbert Blomstedt","New York Philharmonic","Manhattan, NY","Alice Tully Hall","Subscription Season","","14600"
"2011-12","06/14/2012 19:30:00","3","Alan Gilbert","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Leonidas Kavakos","11728"
"2011-12","05/12/2012 20:00:00","1","Alan Gilbert","New York Philharmonic","Davis, California","Jackson Hall","Tour","Yefim Bronfman","12001"
"2011-12","05/10/2012 20:00:00","1","Alan Gilbert","New York Philharmonic","Santa Barbara, CA","Granada Theater","Tour","Yefim Bronfman","11716"
"2011-12","03/15/2012 19:30:00","4","David Zinman","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Gil Shaham","11700"
"2011-12","03/09/2012 20:00:00","1","David Zinman","New York Philharmonic","Newark, NJ","Prudential Hall","Runout","Alisa Weilerstein","13578"
"2011-12","03/08/2012 19:30:00","3","David Zinman","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Alisa Weilerstein","11702"
"2011-12","03/01/2012 19:30:00","4","David Zinman","New York Philharmonic","Manhattan, NY","Avery Fisher Hall","Subscription Season","Peter Serkin","11701"
"2011-12","02/03/2012 20:00:00","1","Alan Gilbert","New York Philharmonic","Luxembourg, LUXEMBOURG","Philharmonie Luxembourg (Joséphine-Charlotte)","Tour","Frank Peter Zimmermann","11693"
"2011-12","02/02/2012 20:00:00","1","Alan Gilbert","New York Philharmonic","Cologne, GERMANY","Kolner Philharmonie","Tour","Frank Peter Zimmermann","11692"
